family,samples,genes,reads,kingdom,phylum,class,order,genus,oxygenstat,metabolism,gram,file
Acidaminococcaceae,ERR260206,645,684,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR260235,645,66042,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR260245,645,1353,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR260252,645,682,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR275251,645,1666,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR321188,645,168750,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR321204,645,492,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR321292,645,2174,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR321397,645,572,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR321441,645,13265,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR321537,645,951,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR321548,645,337101,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR321553,645,14251,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR321560,645,8091,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR321568,645,1212,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR321578,645,8503,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR321584,645,177624,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR321587,645,6065,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR321589,645,6425,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR321592,645,362,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR321606,645,3806,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR321612,645,11071,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR321616,645,2928,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR321619,645,1127,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR321627,645,36649,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR321628,645,307217,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR321631,645,8632,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR321634,645,3592,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR321640,645,17667,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR321648,645,1531,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR414233,645,11619,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR414234,645,2692,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR414235,645,142276,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR414239,645,39722,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR414240,645,998,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR414241,645,7905,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR414244,645,3098,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR414252,645,967,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR414254,645,2681,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR414261,645,1459,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR414265,645,8900,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR414266,645,1959,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR414274,645,45611,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR414278,645,7974,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR414279,645,6945,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR414288,645,7306,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR414292,645,2335,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR414294,645,9254,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR414297,645,1233,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR414301,645,442441,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR414302,645,4627,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR414306,645,1186044,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR414308,645,4285,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR414309,645,1207,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR414311,645,779,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR414313,645,17782,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR414316,645,1109,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR414318,645,2216,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR414319,645,1483,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR414320,645,1279,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR414321,645,36327,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR414324,645,46712,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR414325,645,3501,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR414326,645,2377,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR414331,645,191742,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR414332,645,2072,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR414333,645,6355,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR414334,645,2314,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR414336,645,3778,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR414337,645,14265,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR414338,645,2312,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR414339,645,1678,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR414343,645,1005,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR414344,645,30335,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR414345,645,3376,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR414347,645,3002,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Acidaminococcaceae,ERR414351,645,6163,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcus,Obligate anaerobe,Fermentative,Negative,Acidaminococcus_fermentans_DSM_20731.xml|Acidaminococcus_intestini_RyC_MR95.xml|Acidaminococcus_sp_D21.xml
Actinomycetaceae,ERR260132,580,1793,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomyces,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Actinomyces_cardiffensis_F0333.xml|Actinomyces_georgiae_DSM_6843.xml|Actinomyces_graevenitzii_C83.xml|Actinomyces_naeslundii_str_Howell_279.xml|Actinomyces_odontolyticus_ATCC_17982.xml|Actinomyces_oris_K20.xml|Actinomyces_turicensis_ACS_279_V_Col4.xml|Actinomyces_urogenitalis_DSM_15434.xml|Actinomyces_viscosus_C505.xml
Actinomycetaceae,ERR260134,1142,72777,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomyces,Obligate anaerobe,"Saccharolytic, fermentative",Positive,Actinomyces_cardiffensis_F0333.xml|Actinomyces_georgiae_DSM_6843.xml|Actinomyces_graevenitzii_C83.xml|Actinomyces_naeslundii_str_Howell_279.xml|Actinomyces_odontolyticus_ATCC_17982.xml|Actinomyces_oris_K20.xml|Actinomyces_turicensis_ACS_279_V_Col4.xml|Actinomyces_urogenitalis_DSM_15434.xml|Actinomyces_viscosus_C505.xml
